date,product,close_price_krw_per_tco2,weighted_avg_price_krw_per_tco2,open_price_krw_per_tco2,high_price_krw_per_tco2,low_price_krw_per_tco2,volume_tco2,trading_value_krw
2026-06-12,KAU29,24550,0,0,0,0,0,0
2026-06-12,KAU30,24550,0,0,0,0,0,0
2026-06-12,KCU25,9300,0,0,0,0,0,0
2026-06-12,KCU26,9300,0,0,0,0,0,0
2026-06-12,KOC21-26,12050,0,0,0,0,0,0
2026-06-12,KOC22-27,11000,0,0,0,0,0,0
2026-06-12,KOC23-28,15000,0,0,0,0,0,0
2026-06-12,KOC24-29,13500,0,0,0,0,0,0
2026-06-12,KOC25-30,13000,0,0,0,0,0,0
2026-06-12,KOC26-31,11000,0,0,0,0,0,0
2026-06-12,i-KCU25,15450,0,0,0,0,0,0
2026-06-12,i-KCU26,15450,0,0,0,0,0,0
2026-06-12,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-12,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-12,i-KOC23-28,24000,0,0,0,0,0,0
2026-06-12,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-12,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-12,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-15,KAU25,22500,21935,23400,23400,21500,543877,11929696500
2026-06-15,KAU26,24500,0,0,0,0,0,0
2026-06-15,KAU27,24550,0,0,0,0,0,0
2026-06-15,KAU28,24550,0,0,0,0,0,0
2026-06-15,KAU29,24550,0,0,0,0,0,0
2026-06-15,KAU30,24550,0,0,0,0,0,0
2026-06-15,KCU25,9300,0,0,0,0,0,0
2026-06-15,KCU26,9300,0,0,0,0,0,0
2026-06-15,KOC21-26,12050,0,0,0,0,0,0
2026-06-15,KOC22-27,11000,0,0,0,0,0,0
2026-06-15,KOC23-28,15000,0,0,0,0,0,0
2026-06-15,KOC24-29,13500,0,0,0,0,0,0
2026-06-15,KOC25-30,13000,0,0,0,0,0,0
2026-06-15,KOC26-31,11000,0,0,0,0,0,0
2026-06-15,i-KCU25,15450,0,0,0,0,0,0
2026-06-15,i-KCU26,15450,0,0,0,0,0,0
2026-06-15,i-KOC21-26,14900,0,0,0,0,0,0
2026-06-15,i-KOC22-27,12550,0,0,0,0,0,0
2026-06-15,i-KOC23-28,24000,0,0,0,0,0,0
2026-06-15,i-KOC24-29,14500,0,0,0,0,0,0
2026-06-15,i-KOC25-30,12400,0,0,0,0,0,0
2026-06-15,i-KOC26-31,12400,0,0,0,0,0,0
2026-06-16,KAU25,20250,20472,22500,22500,20250,554955,11360929900
2026-06-16,KAU26,24500,0,0,0,0,0,0
2026-06-16,KAU27,24550,0,0,0,0,0,0
