facility,year,month,incoming_ton,incineration_ton,operation_rate,lng_nm3,electricity_kwh,prev_month_incoming_ton,prev_2month_avg_incoming_ton,prev_3month_avg_incoming_ton,same_month_last_year_incoming_ton,incineration_rate,same_month_past_avg_incineration_rate
강남,2025,8,23781.0,24521.0,88.0,36223.0,2372364.0,23103.0,13034.500000000004,10753.000000000002,25032.69636363636,1.0311172784996425,1.0049329098054023
강남,2025,9,26107.0,23414.0,89.0,85059.0,2262060.0,23781.0,23442.000000000004,16616.666666666668,22719.026363636363,0.8968475887692956,1.0191339078950687
강남,2025,10,22511.0,23712.0,88.0,83997.0,2244276.0,26107.0,24944.000000000004,24330.333333333332,24553.891,1.0533516947270223,0.9975558727249034
강남,2025,11,21005.0,18674.0,89.0,73370.0,1929744.0,22511.0,24309.000000000004,24133.0,23158.590909090908,0.8890264222804094,0.9707111782183627
강남,2025,12,22929.0,23421.0,90.0,28177.0,2203056.0,21005.0,21758.000000000004,23207.666666666668,24484.246,1.0214575428496664,1.0096705349788204
강남,2026,1,24608.0,24600.0,88.0,4279.0,2265156.0,22929.0,21967.000000000004,22148.333333333332,24071.693333333333,0.9996749024707412,0.9776898104345264
강남,2026,2,22175.0,21689.0,88.0,10563.0,2037528.0,24608.0,23768.500000000004,22847.333333333332,21624.12,0.9780834272829764,0.9737246702863831
강남,2026,3,23512.0,22413.0,88.0,32245.0,2169216.0,22175.0,23391.500000000004,23237.333333333332,22889.755833333333,0.953257910854032,1.0233998187164277
강남,2026,4,22326.0,22633.0,89.0,17532.0,2140740.0,23512.0,22843.500000000004,23431.666666666668,16676.688333333335,1.0137507838394697,1.1173394223410114
노원,2014,1,15564.13,19897.53,80.23,7441.0,1826775.0,,,,,1.278422243967379,
노원,2014,2,15940.12,17725.06,79.13,34259.0,1583157.0,15564.13,,,,1.1119778270176135,
노원,2014,3,16578.81,17516.55,77.28,71729.0,1746428.0,15940.12,15752.125,,,1.0565625638993388,
노원,2014,4,3109.64,6090.4,60.2,121552.0,922097.0,16578.81,16259.465,16027.686666666666,,1.9585546880024698,
노원,2014,5,14032.24,3100.55,77.19,48662.0,570010.0,3109.64,9844.225,11876.190000000002,,0.2209590200851753,
노원,2014,6,13518.31,12192.54,79.43,30748.0,1199361.0,14032.24,8570.940000000002,11240.230000000001,,0.9019278297361135,
노원,2014,7,17754.31,19451.65,80.77,28664.0,1750109.0,13518.31,13775.275000000001,10220.063333333334,,1.0956015750541699,
노원,2014,8,16788.96,20314.54,81.91,22076.0,1754074.0,17754.31,15636.310000000001,15101.62,,1.2099939484041895,
노원,2014,9,17517.33,18225.82,79.7,20186.0,1571853.0,16788.96,17271.635000000002,16020.526666666667,,1.0404450906616476,
노원,2014,10,17678.09,19649.5,79.23,9376.0,1636444.0,17517.33,17153.145000000004,17353.533333333336,,1.1115171378808457,
노원,2014,11,17969.84,11217.42,80.8,149893.0,1231978.0,17678.09,17597.710000000003,17328.126666666667,,0.6242359420005965,
노원,2014,12,18037.49,19411.23,80.94,75533.0,1686541.0,17969.84,17823.965000000004,17721.753333333334,,1.0761602639835142,
노원,2015,1,15991.76,19937.95,80.39,13931.0,1700502.0,18037.49,18003.665,17895.14,15564.13,1.2467639584385959,1.278422243967379
노원,2015,2,15204.38,16990.94,75.85,29849.0,1476652.0,15991.76,17014.625000000004,17333.030000000002,15940.12,1.117502982693145,1.1119778270176135
노원,2015,3,16968.78,16375.83,73.49,13399.0,1524674.0,15204.38,15598.070000000002,16411.210000000003,16578.81,0.9650564153698734,1.0565625638993388
노원,2015,4,16008.91,17712.84,78.14,8974.0,1572347.0,16968.78,16086.580000000002,16054.973333333333,3109.64,1.1064363532557806,1.9585546880024698
노원,2015,5,15751.03,14639.39,73.26,6182.0,1417077.0,16008.91,16488.845,16060.689999999997,14032.24,0.9294242979665456,0.2209590200851753
노원,2015,6,5877.97,961.25,64.8,57390.0,442443.0,15751.03,15879.970000000005,16242.906666666668,13518.31,0.16353434944377054,0.9019278297361135
노원,2015,7,16202.26,12424.46,75.0,36186.0,1222156.0,5877.97,10814.500000000004,12545.970000000001,17754.31,0.7668349970929981,1.0956015750541699
노원,2015,8,15677.0,19881.64,80.17,544.0,1686904.0,16202.26,11040.115000000005,12610.42,16788.96,1.2682043758372137,1.2099939484041895
노원,2015,9,14740.88,18954.58,78.98,1119.0,1615743.0,15677.0,15939.630000000005,12585.743333333334,17517.33,1.2858513195955739,1.0404450906616476
노원,2015,10,16697.31,18220.32,73.47,,1570212.0,14740.88,15208.940000000004,15540.046666666667,17678.09,1.0912128959694705,1.1115171378808457
노원,2015,11,17485.56,10356.68,66.6,60998.0,1083701.0,16697.31,15719.095000000005,15705.063333333334,17969.84,0.5922990170174703,0.6242359420005965
노원,2015,12,17643.72,18668.4,80.12,94852.0,1563954.0,17485.56,17091.435000000005,16307.916666666666,18037.49,1.0580761880147724,1.0761602639835142
노원,2016,1,15257.3,17885.24,72.12,1593231.0,1343162.0,17643.72,17564.640000000007,17275.530000000002,15777.945,1.172241484404187,1.2625931012029874
